rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260611,601958.SH,research,A,long,半导体级高纯钼龙头;钼代钨0-1产业拐点,,团队研报
20260611,603993.SH,research,B,long,钼资源;半导体级纯度追赶,,团队研报
20260611,002428.SZ,research,A,long,锗/InP出口管制直接受益;卡脖子,,团队研报
20260611,688146.SH,research,A,long,WF6/电子特气龙头;先进制程刚需,,团队研报
20260611,002409.SZ,research,A,long,前驱体平台;日系材料替代,,团队研报
20260611,600378.SH,research,B,long,含氟电子特气,,团队研报
20260611,002549.SZ,research,B,long,电子特气,,团队研报
20260611,688549.SH,research,B,long,电子湿化学品/特气,,团队研报
20260611,301045.SZ,research,A,long,TAC膜0-1国产突破,,团队研报
20260611,002859.SZ,research,B,long,MLCC离型膜加速放量,,团队研报
20260611,605358.SH,research,B,long,金瑞泓大硅片涨价10-15%,,团队研报
20260611,688126.SH,research,B,long,大硅片国产替代,,团队研报
20260611,688783.SH,research,B,long,大硅片扩产,,团队研报
20260611,688478.SH,research,B,long,SiC+硅片长晶炉,,团队研报
20260611,688037.SH,research,B,long,涂胶显影设备国产化+出海,,团队研报
20260611,300666.SZ,research,B,long,靶材龙头,,团队研报
20260611,688530.SH,research,B,long,靶材,,团队研报
20260611,688401.SH,research,B,long,掩膜版,,团队研报
20260611,688138.SH,research,B,long,掩膜版,,团队研报
20260611,688300.SH,research,B,long,先进封装+球形氧化铝双受益,,团队研报
20260611,688535.SH,research,B,long,先进封装材料,,团队研报
20260611,688233.SH,research,B,long,硅零部件,,团队研报
20260611,300480.SZ,research,B,long,划片机,,团队研报
20260611,688733.SH,research,B,long,HBM导热/球形氧化铝,,团队研报
20260611,600183.SH,research,B,long,CCL龙头;M8/AI占比提升;超级周期,,团队研报
20260611,688519.SH,research,B,long,高速材料出货;M8潜力,,团队研报
20260611,603186.SH,research,B,long,CCL提价受益,,团队研报
20260611,300308.SZ,research,B,long,唯一有效放量;1.6T;靠趋势闸管回调,,团队研报
20260611,300502.SZ,research,C,long,受益但需订单验证;分化,,团队研报
20260611,688498.SH,research,C,long,光芯片;需放量验证,,团队研报
