rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260624,688981.SH,intraday,B,long,"成熟制程代工;二季报或成走向共识节点;走势美",,投顾午盘0624
20260624,688347.SH,intraday,B,long,"成熟制程代工;Q2毛利率提升指引;台积电清退28nm溢出受益",,投顾午盘0624
20260624,600460.SH,intraday,B,long,"成熟制程代工;稼动率淡季不淡;价格普涨",,投顾午盘0624
20260624,603259.SH,intraday,C,long,"CXO龙头;减重/XDC/GLP-1放量;10cm活跃,已涨高待回踩",,投顾午盘0624
20260624,002821.SZ,intraday,C,long,"CDMO;新分子大单品放量;10cm活跃,已涨高",,投顾午盘0624
20260624,300347.SZ,intraday,C,long,"临床CRO;签单稳健增长",,投顾午盘0624
20260624,603127.SH,intraday,C,long,"临床前CRO;签单超预期阶段性拐点",,投顾午盘0624
20260624,688710.SH,intraday,C,long,"临床前CRO;签单拐点",,投顾午盘0624
20260624,688202.SH,intraday,C,long,"临床前CRO;签单拐点",,投顾午盘0624
20260624,301257.SZ,intraday,C,long,"临床CRO;稳健增长",,投顾午盘0624
20260624,688131.SH,intraday,C,long,"科研服务上游;前端高盈利高增长",,投顾午盘0624
20260624,301393.SZ,intraday,C,long,"GLP-1上游;2026产能投放业绩弹性大",,投顾午盘0624
20260624,688356.SH,intraday,C,long,"经营拐点明确;2026业绩弹性大",,投顾午盘0624
20260624,688690.SH,intraday,C,long,"CXO上游物料;跟涨",,投顾午盘0624
20260624,300363.SZ,intraday,C,long,"CDMO;跟涨",,投顾午盘0624
20260624,600851.SH,intraday,C,long,"创新药4连板投机;无业绩勿追",,投顾午盘0624
20260624,000566.SZ,intraday,C,long,"创新药2连板投机;勿追",,投顾午盘0624
