rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260630,002384.SZ,research,A,long,"光通信综合核心:光芯片+光模块+PCB,业绩确定性+题材弹性(财报季首选)",,直播0630
20260630,300308.SZ,research,A,long,"光模块龙头,AI光通信业绩兑现(alpha)",,直播0630
20260630,300502.SZ,research,A,long,"光模块,业绩兑现(alpha)",,直播0630
20260630,002281.SZ,research,B,long,"光芯片(偏beta弹性,业绩有限)",,直播0630
20260630,688048.SH,research,B,long,"光芯片/InP;FAU替代利空已解除转中性",,直播0630
20260630,002428.SZ,research,B,long,"磷化铟InP衬底国产替代(偏beta估值弹性)",,直播0630
20260630,600141.SH,research,B,long,"四氯化硅(光棒原料)/有机硅/高纯红磷",,直播0630
20260630,300260.SZ,research,B,long,"真空阀,缺货涨价(VAT垄断90%交期18-24月)",,直播0630
20260630,002158.SZ,research,B,long,"干式真空泵,国产替代较快",,直播0630
20260630,688409.SH,research,B,long,"半导体零部件平台/阀门组件",,直播0630
20260630,688596.SH,research,B,long,"工艺真空阀+集成气柜MFC模组",,直播0630
20260630,600552.SH,research,B,long,"玻璃基板/TGV封装(核心beta,控仓勿追高)",,直播0630
20260630,000725.SZ,research,B,long,"玻璃基板(核心beta,控仓勿追高)",,直播0630
20260630,603773.SH,research,B,long,"玻璃基板TGV/激光打孔(核心beta,控仓)",,直播0630
20260630,002371.SZ,research,B,long,"半导体设备平台龙头(beta扩产,低吸忌高位)",,直播0630
20260630,688361.SH,research,B,long,"半导体检测设备",,直播0630
20260630,300666.SZ,research,B,long,"半导体靶材龙头,先进制程消耗3-5倍+日系替代,创新高",,直播0630
20260630,600703.SH,research,B,long,"第三代半导体GaN/SiC龙头",,直播0630
20260630,688106.SH,research,B,long,"特气/高纯CO2供应紧涨价",,直播0630
20260630,002851.SZ,research,B,long,"电源平台(有业绩);SST/800V题材按事件脉冲对待",,直播0630
20260630,300466.SZ,research,C,long,"机器人谐波减速器(无长线业绩,仅短线博弈)",,直播0630
20260630,002050.SZ,research,C,long,"机器人执行器/热管理(短线博弈)",,直播0630
20260630,688316.SH,research,C,long,"国产算力/云(智谱回A受益,看产量良率)",,直播0630
20260630,688158.SH,research,C,long,"国产算力/云(条件性)",,直播0630
20260630,688629.SH,research,C,long,"高速连接器/算力(950系列)",,直播0630
20260630,688122.SH,research,C,long,"可控核聚变(中长期,商业化早)",,直播0630
20260630,002897.SZ,research,C,long,"华为昇腾链高速连接器",,直播0630
20260630,300395.SZ,research,C,long,"Q布石英纤维(放量慢,谨慎勿追)",,直播0630
