rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260703,600988.SH,intraday,B,long,"有色/黄金延续强势(2连板):隔夜国际贵金属期货大涨+美国6月非农低于预期→美元指数与美债收益率同步回落、资金回流;弹性龙头,连板高位防追高",,投顾早盘0703
20260703,000975.SZ,intraday,C,long,"黄金跟随:山金国际涨停;同贵金属大涨+非农弱于预期催化;涨停防追高",,投顾早盘0703
20260703,601069.SH,intraday,C,long,"黄金跟随:西部黄金涨停;同贵金属/非农催化;涨停防追高",,投顾早盘0703
20260703,001337.SZ,intraday,C,long,"黄金跟随:四川黄金涨停;同贵金属/非农催化;次新+涨停波动大严控仓",,投顾早盘0703
20260703,300139.SZ,intraday,C,long,"黄金题材跟随:晓程科技涨超10%(海外金矿);弱逻辑纯跟随",,投顾早盘0703
20260703,688017.SH,intraday,C,long,"机器人/减速器(涨幅最突出):绿的谐波+15.7%;宇树科创板IPO注册获批强化产业资本化预期+特斯拉Optimus投产节奏明确,丝杠/电机/减速器执行器零部件全产业链活跃;高位追高风险大,总基调不追高",,投顾早盘0703
20260703,002747.SZ,intraday,C,long,"机器人本体/工控:埃斯顿4天3板;宇树IPO+Optimus投产催化;连板高位严控仓防追高",,投顾早盘0703
20260703,600580.SH,intraday,C,long,"机器人电机:卧龙电驱涨停;执行器零部件联动;涨停防追高",,投顾早盘0703
20260703,603286.SH,intraday,C,long,"机器人题材:日盈电子2连板;纯题材连板,追高风险大",,投顾早盘0703
20260703,002916.SZ,intraday,B,long,"AI硬件/PCB震荡反弹:深南电路涨停;业绩与产业逻辑清晰,中报业绩验证窗口下相对占优",,投顾早盘0703
20260703,002463.SZ,intraday,C,long,"PCB跟涨:沪电股份;同AI硬件反弹逻辑",,投顾早盘0703
20260703,600183.SH,intraday,C,long,"PCB跟涨:生益科技;同AI硬件反弹逻辑",,投顾早盘0703
