rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260625,603986.SH,intraday,B,long,"存储龙头;美光供需紧张持续至2027;+7%",,投顾午盘0625
20260625,600584.SH,intraday,B,long,"先进封测龙头;78亿临港2.5D/3D;安靠+台积电10年合作;花旗上调(4天3板偏高)",,投顾午盘0625
20260625,600563.SH,intraday,B,long,"薄膜电容;电容涨价链(江海发提价函);Rubin四大电容类比MLCC",,投顾午盘0625
20260625,300223.SZ,intraday,C,long,"车规/利基存储;涨幅居前",,投顾午盘0625
20260625,688123.SH,intraday,C,long,"存储EEPROM/SPD;涨幅居前",,投顾午盘0625
20260625,600667.SH,intraday,C,long,"存储链;一字涨停投机",,投顾午盘0625
20260625,688525.SH,intraday,C,long,"存储模组/HBM;+14%创历史新高,已涨高",,投顾午盘0625
20260625,002156.SZ,intraday,C,long,"先进封测;AMD封装;花旗上调",,投顾午盘0625
20260625,002185.SZ,intraday,C,long,"先进封测;花旗上调",,投顾午盘0625
20260625,002484.SZ,intraday,C,long,"铝电解电容;发提价函5-10%(催化主角);10cm已涨高",,投顾午盘0625
20260625,603989.SH,intraday,C,long,"铝电解电容;涨价;10cm已涨高",,投顾午盘0625
