rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260807,002552.SZ,intraday,C,long,PCB爆发龙头例举：宝鼎科技6天5板（高盛上调AI服务器PCB与CCL预测催化）,20260811,8.7午盘笔记
20260807,603186.SH,intraday,C,long,PCB·CCL例举：华正新材4天3板（覆铜板材料端）,20260811,8.7午盘笔记
20260807,603228.SH,intraday,C,long,PCB例举：景旺电子2连板（高端PCB需求景气向上）,20260811,8.7午盘笔记
20260807,688020.SH,intraday,C,long,PCB例举：方邦股份20cm涨停（上游材料扩散）,20260811,8.7午盘笔记
20260807,600721.SH,intraday,C,long,创新药人气标例举：百花医药4连板,20260811,8.7午盘笔记
20260807,600664.SH,intraday,C,long,创新药例举：哈药股份涨停（出海逻辑与业绩兑现双驱动）,20260811,8.7午盘笔记
20260807,600267.SH,intraday,C,long,创新药例举：海正药业涨停,20260811,8.7午盘笔记
20260807,688046.SH,intraday,C,long,创新药例举：药康生物涨停,20260811,8.7午盘笔记
20260807,603259.SH,intraday,C,long,创新药强势形态例举：药明康德涨超6%、业绩缺口顺五日线向上爬＝强势带动板块赚钱效应扩散,20260811,8.7午盘笔记
20260807,002827.SZ,intraday,C,long,民爆龙头例举：高争民爆9天6板（工信部民爆十五五规划催化）。⚠️即将面临前高附近分歧、注意龙头衰退引发情绪退潮,20260811,8.7午盘笔记
20260807,002037.SZ,intraday,C,long,民爆例举：保利联合涨停（产业集中度提升与重组整合预期）,20260811,8.7午盘笔记
20260807,002226.SZ,intraday,C,long,民爆例举：江南化工跟涨,20260811,8.7午盘笔记
