# ETF 观察清单（无 rt_k 实时源，仅盘后 EOD 视图用 fund_daily 计算趋势/买点位）
# 用前复权价（fund_adj）算均线，自动抹平份额拆分/折算的价格台阶
# 格式：代码  [级别]  # 备注
515050.SH  A  # 通信ETF(5G通信,含"光"量最高)·A级核心。2026-05-13做3拆1折算,复权后上升趋势;等回踩MA20≈1.25放量
588010.SH  B  # 博时科创新材料ETF(跟踪科创新材料指数000689)·AI上游材料beta。年内+60%,上升趋势但偏离MA20;等回踩MA20≈1.24
# —— 老登/红利防御观察篮子（2026-07-20 加入，投顾四源共振：重远老登对冲/投顾团队高股息避险/仓都加满红利防御/国家队宽基含大金融）——
# 无级别=纯观察(不进买点闸候选);配置为投顾主导主观决定,系统无自动老登腿(P19/E15 老登对冲1/4未过维持现金)
512880.SH  C  # 证券ETF(国泰中证全指证券公司)·老登-券商核心。高低切防守腿主标的
512800.SH  C  # 银行ETF(华宝中证银行)·老登-银行。低估值高股息,沪深300/上证50第一大权重群
512070.SH  C  # 非银ETF(易方达中证非银金融)·老登-券商+保险敞口
510880.SH  C  # 红利ETF(华泰柏瑞上证红利)·红利防御主标的,债性现金回报
512890.SH  C  # 红利低波ETF(华泰柏瑞中证红利低波动)·对应系统 E10 底仓指数 H30269.CSI
515220.SH  C  # 煤炭ETF(国泰中证煤炭)·投顾团队高股息避险(0720午盘供给收缩)
159611.SZ  C  # 电力ETF(广发中证全指电力公用事业)·投顾团队高股息避险(高温负荷破极值)
