as_of_date,meter,dimension,key,flow_score,direction,evidence,source,valid_until,raw_excerpt
20260705,credit,sector,半导体,72,in,科技创新再贷款定向、设备更新再贷款落地、企业中长期贷款投向硬科技,示例·待替换,,示例占位:请以真实社融结构/结构性货币工具替换
20260705,fiscal,sector,半导体,82,in,大基金三期出资、以旧换新/设备更新清单纳入,示例·待替换,,示例占位:请以真实财政投向替换
20260705,policy_capital,sector,半导体,62,in,国家队/汇金ETF增持科技方向、国资委市值管理考核,示例·待替换,,示例占位
20260705,credit,theme,AI算力,66,in,全球AI资本开支周期、国产算力链信贷支持、产业订单兑现,示例·待替换,,示例占位
20260705,fiscal,theme,AI算力,56,in,专项债投向数据中心/智算中心基建,示例·待替换,,示例占位
20260705,policy_capital,theme,AI算力,50,in,险资社保入市方向,示例·待替换,,示例占位
20260705,credit,theme,新质生产力,42,in,人形机器人/低空经济/固态电池产业资本进入,示例·待替换,,示例占位:赔率高确定性低
20260705,fiscal,theme,新质生产力,52,in,五年规划命名产业、产业引导基金,示例·待替换,,示例占位
20260705,policy_capital,theme,新质生产力,55,in,政策命名+产业资本,示例·待替换,,示例占位
20260705,credit,sector,地产链,-72,out,水在往外抽、居民杠杆去化,示例·待替换,,示例占位:逆风板块
20260705,fiscal,sector,地产链,-42,out,财政未定向导入,示例·待替换,,示例占位
20260705,policy_capital,sector,地产链,-30,out,政策资本未指向,示例·待替换,,示例占位
