rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260705,688041.SH,research,B,long,"算力链-GPU：深算GPGPU商用兼容CUDA最好，两大模型回A预期带来数万片级高端GPGPU追加订单",,投顾研报0705算力链
20260705,000977.SZ,research,B,long,"算力链-AI服务器：国内服务器绝对龙头，国产AI服务器(昇腾/寒武纪/海光)出货爆发预期",,投顾研报0705算力链
20260705,300308.SZ,research,B,long,"算力链-光模块龙头：智谱万卡/十万卡集群内部通信上量800G/1.6T，国内高端光模块份额爆发、高毛利",,投顾研报0705算力链
20260705,300502.SZ,research,B,long,"算力链-光模块龙头：800G/1.6T国内智算中心放量",,投顾研报0705算力链
20260705,002463.SZ,research,B,long,"算力链-PCB主力：AI服务器高层(20层+)超低损耗/HDI，国产服务器订单先发优势",,投顾研报0705算力链
20260705,300476.SZ,research,B,long,"算力链-PCB主力：全球AI服务器PCB主力之一，国产服务器订单先发",,投顾研报0705算力链
20260705,002837.SZ,research,B,long,"算力链-液冷：Coolinside液冷全链条已深度应用互联网及国家队算力中心，单柜40-50kW风冷不足",,投顾研报0705算力链
20260705,688158.SH,research,C,long,"算力链-算力租赁：智谱与MiniMax核心智算服务商，提供万卡级GPU集群底层算力",,投顾研报0705算力链
20260705,300846.SZ,research,C,long,"算力链-算力租赁：最早为MiniMax等提供异构算力集群租赁，两地上市后长协锁单预期",,投顾研报0705算力链
20260705,600410.SH,research,C,long,"算力链-算力租赁：智谱算力深度绑定(MaaS/算力中心代管)，承接募资划拨的算力租赁开支",,投顾研报0705算力链
20260705,300394.SZ,research,C,long,"算力链-光器件：高端光模块配套(受益智算演进)",,投顾研报0705算力链
20260705,000938.SZ,research,C,long,"算力链-交换机：新华三交换机，国产超节点Scale-up带动，远期订单预期",,投顾研报0705算力链
20260705,688702.SH,research,C,long,"算力链-交换芯片：国产超节点起量首要带动交换芯片，远期",,投顾研报0705算力链
20260705,300499.SZ,research,C,long,"算力链-液冷：冷板/浸没式液冷，高密度大模型训练中心硬指标",,投顾研报0705算力链
20260705,603019.SH,research,C,long,"算力链-AI服务器：服务器/超算，国产算力集成受益预期",,投顾研报0705算力链
