rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260624,002549.SZ,research,C,long,"精简降C:特气保留中船特气(A)/华特/金宏",,精简0624
20260624,300480.SZ,research,C,long,"精简降C:设备保留芯源微",,精简0624
20260624,600378.SH,research,C,long,"精简降C:特气保留华特/金宏",,精简0624
20260624,603186.SH,research,C,long,"精简降C:CCL保留生益科技",,精简0624
20260624,603993.SH,research,C,long,"精简降C:钼保留金钼股份(A)",,精简0624
20260624,688138.SH,research,C,long,"精简降C:掩膜版保留路维光电",,精简0624
20260624,688233.SH,research,C,long,"精简降C:硅片保留立昂微/沪硅",,精简0624
20260624,688300.SH,research,C,long,"精简降C:封装材料保留壹石通",,精简0624
20260624,688478.SH,research,C,long,"精简降C:硅片保留立昂微/沪硅",,精简0624
20260624,688519.SH,research,C,long,"精简降C:CCL保留生益科技",,精简0624
20260624,688530.SH,research,C,long,"精简降C:靶材保留江丰电子",,精简0624
20260624,688535.SH,research,C,long,"精简降C:封装材料保留壹石通",,精简0624
20260624,688549.SH,research,C,long,"精简降C:特气保留华特/金宏",,精简0624
20260624,688783.SH,research,C,long,"精简降C:硅片保留立昂微/沪硅",,精简0624
20260624,603773.SH,research,C,long,"精简降C:玻璃基板保留凯盛科技",,精简0624
20260624,688396.SH,research,C,long,"精简降C:第三代半导体保留三安光电",,精简0624
20260624,000751.SZ,research,C,long,"精简降C:铟保留锡业股份",,精简0624
20260624,002805.SZ,research,C,long,"精简降C:磷酸铁锂保留湖南裕能",,精简0624
20260624,300179.SZ,research,C,long,"精简降C:金刚石散热保留力量钻石",,精简0624
20260624,300769.SZ,research,C,long,"精简降C:磷酸铁锂保留湖南裕能",,精简0624
20260624,600172.SH,research,C,long,"精简降C:金刚石散热保留力量钻石",,精简0624
20260624,600961.SH,research,C,long,"精简降C:铟保留锡业股份",,精简0624
20260624,603906.SH,research,C,long,"精简降C:磷酸铁锂保留湖南裕能",,精简0624
20260624,000811.SZ,research,C,long,"精简降C:液冷保留英维克",,精简0624
20260624,002843.SZ,research,C,long,"精简降C:昇腾链保留意华股份",,精简0624
20260624,300077.SZ,research,C,long,"精简降C:MCU/SOC保留瑞芯微",,精简0624
20260624,300162.SZ,research,C,long,"精简降C:MicroLED保留明微电子",,精简0624
20260624,300540.SZ,research,C,long,"精简降C:气体二线",,精简0624
20260624,603757.SH,research,C,long,"精简降C:液冷保留英维克",,精简0624
20260624,688055.SH,research,C,long,"精简降C:MicroLED保留明微电子",,精简0624
20260624,600460.SH,research,C,long,"精简降C:代工保留中芯/华虹",,精简0624
