rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260623,002384.SZ,research,B,long,"PCB+光概念双逻辑;围绕""光""产业链",,投顾直播0623
20260623,688699.SH,research,B,long,"MicroLED+CPO补涨扩散;图形蓄势;腰部底部补涨",,投顾直播0623
20260623,688055.SH,research,B,long,"MicroLED+CPO补涨扩散;复合概念",,投顾直播0623
20260623,300162.SZ,research,B,long,"MicroLED+CPO补涨扩散;复合概念",,投顾直播0623
20260623,300077.SZ,research,B,long,"MCU芯片补涨扩散(曾20cm涨停);底部图形",,投顾直播0623
20260623,603893.SH,research,B,long,"SOC芯片补涨扩散;底部图形好",,投顾直播0623
20260623,002706.SZ,research,B,long,"SSCB固态断路器;一台SST配五六十套;量价齐升",,投顾直播0623
20260623,601179.SH,research,B,long,"SST中军;变压器出口;拿海外数据中心SST订单(签4台)",,投顾直播0623
20260623,002851.SZ,research,B,long,"SST中军(英伟达相关);800V高压平台引领",,投顾直播0623
20260623,002897.SZ,research,B,long,"华为昇腾910产业链-高速连接器;下半年量产催化",,投顾直播0623
20260623,002843.SZ,research,B,long,"华为昇腾910产业链-华为电源;下半年量产催化",,投顾直播0623
