rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260705,002371.SZ,research,B,long,"存储链-前道设备龙头：长鑫PVD/CVD/ICP刻蚀主供+TSV深孔刻蚀，205亿募资转化设备订单，设备2026中报先兑现",,投顾研报0705存储链
20260705,688072.SH,research,B,long,"存储链-前道设备：DRAM电容High-k薄膜沉积(ALD/PECVD)国内近垄断，每扩产1万片设备采购弹性大，2026先兑现",,投顾研报0705存储链
20260705,688120.SH,research,B,long,"存储链-前道设备：CMP抛光国内市占近全覆盖，HBM/高层堆叠抛光次数几何增，扩产即放量，2026先兑现",,投顾研报0705存储链
20260705,001309.SZ,research,B,long,"存储链-下游模组：绑定长鑫DRAM优先供应，涨价+低价库存重估，毛利率5.85%→57.42%业绩已暴增兑现",,投顾研报0705存储链
20260705,688548.SH,research,B,long,"存储链-气体：长鑫厂区现场制气建站，10-15年排他长协，大宗高纯气体业绩稳定、确定性高",,投顾研报0705存储链
20260705,000021.SZ,research,C,long,"存储链-封测：长鑫第一大外协封测(合肥厂无缝对接)，扩产至16万片，HBM3堆叠封装几乎全额承接；中期放量",,投顾研报0705存储链
20260705,002579.SZ,research,C,long,"存储链-载板：长鑫量产线BT载板核心供货(订单排半年)，高端ABF载板HBM产线深度送样；远期",,投顾研报0705存储链
20260705,002436.SZ,research,C,long,"存储链-载板：ABF载板配套(提及)",,投顾研报0705存储链
20260705,600584.SH,research,C,long,"存储链-先进封装：HBM3最终承接(X-Dfoi扇出)，后道堆叠/混合键合验证；远期27+",,投顾研报0705存储链
20260705,002156.SZ,research,C,long,"存储链-先进封装：HBM3(AMD绑定底座)，国产HBM后道验证；远期27+",,投顾研报0705存储链
20260705,300054.SZ,research,C,long,"存储链-材料：KrF/ArF光刻胶+CMP抛光垫全面替代，与长鑫共建联合实验室锁定独家/一号份额；中期放量",,投顾研报0705存储链
20260705,002409.SZ,research,C,long,"存储链-材料：前驱体切入长鑫/长存，HBM3 High-k前驱体消耗DDR4三倍，高毛利独占；中期放量",,投顾研报0705存储链
20260705,603931.SH,research,C,long,"存储链-材料：TMAH显影液SEMI G5唯一量产，垄断长鑫前道显影国产份额；中期放量",,投顾研报0705存储链
20260705,603078.SH,research,C,long,"存储链-材料：超高纯试剂(双氧水/硫酸/氨水)，产线不停消耗不止高频刚需",,投顾研报0705存储链
20260705,688019.SH,research,C,long,"存储链-材料：抛光液国内70%市占，长鑫氧化物抛光液一号供应；中期放量",,投顾研报0705存储链
20260705,300666.SZ,research,C,long,"存储链-靶材：超高纯铝/钛/钽靶材深度渗透长鑫长存，DDR5布线密度增靶材单耗升；中期",,投顾研报0705存储链
20260705,600206.SH,research,C,long,"存储链-靶材(提及)",,投顾研报0705存储链
20260705,300395.SZ,research,C,long,"存储链-石英件：唯一通过三大设备商认证，先进产线高频易损耗消耗大",,投顾研报0705存储链
20260705,301308.SZ,research,C,long,"存储链-模组：长鑫国产颗粒供应(提及)",,投顾研报0705存储链
20260705,688525.SH,research,C,long,"存储链-模组(提及)",,投顾研报0705存储链
